metric,BoTSORT,ByteTrack,delta_right_minus_left,preferred_direction,winner
method,simple_iou_greedy,simple_iou_greedy,,neutral,n/a
class_match_mode,strict,strict,,neutral,n/a
iou_threshold,0.5,0.5,0.0,neutral,n/a
frames,2924,2923,-1.0,neutral,n/a
gt_detections,6047,6047,0.0,neutral,n/a
pred_detections,6676,6550,-126.0,neutral,n/a
true_positives,4018,3820,-198.0,higher,BoTSORT
false_positives,2658,2730,72.0,lower,BoTSORT
false_negatives,2029,2227,198.0,lower,BoTSORT
id_switches,27,30,3.0,lower,BoTSORT
precision,0.6018573996405033,0.583206106870229,-0.01865129277027433,higher,BoTSORT
recall,0.6644617165536629,0.6317182073755582,-0.03274350917810476,higher,BoTSORT
f1,0.631612041185255,0.606493609589585,-0.025118431595670065,higher,BoTSORT
mota,0.2204398875475443,0.17529353398379366,-0.04514635356375063,higher,BoTSORT
motp,0.7119289107144223,0.7143534747998325,0.0024245640854101413,higher,ByteTrack
hota,0.47621510185554566,0.47104175032778556,-0.005173351527760106,higher,BoTSORT
class_vehicle_gt_detections,2262,2262,0.0,neutral,n/a
class_vehicle_pred_detections,2752,2740,-12.0,neutral,n/a
class_vehicle_true_positives,1682,1601,-81.0,higher,BoTSORT
class_vehicle_false_positives,1070,1139,69.0,lower,BoTSORT
class_vehicle_false_negatives,580,661,81.0,lower,BoTSORT
class_vehicle_id_switches,4,6,2.0,lower,BoTSORT
class_vehicle_precision,0.6111918604651163,0.5843065693430657,-0.026885291122050625,higher,BoTSORT
class_vehicle_recall,0.7435897435897436,0.7077807250221043,-0.035809018567639295,higher,BoTSORT
class_vehicle_f1,0.6709214200239331,0.6401439424230309,-0.030777477600902214,higher,BoTSORT
class_vehicle_mota,0.268788682581786,0.2015915119363395,-0.0671971706454465,higher,BoTSORT
class_vehicle_motp,0.7546154926940993,0.7506835209180772,-0.003931971776022114,higher,BoTSORT
class_vehicle_hota,0.5567975985092811,0.5455859189397948,-0.011211679569486321,neutral,n/a
class_two_wheeler_gt_detections,3081,3081,0.0,neutral,n/a
class_two_wheeler_pred_detections,3649,3536,-113.0,neutral,n/a
class_two_wheeler_true_positives,2093,1983,-110.0,higher,BoTSORT
class_two_wheeler_false_positives,1556,1553,-3.0,lower,ByteTrack
class_two_wheeler_false_negatives,988,1098,110.0,lower,BoTSORT
class_two_wheeler_id_switches,20,21,1.0,lower,BoTSORT
class_two_wheeler_precision,0.5735818032337626,0.5608031674208145,-0.012778635812948136,higher,BoTSORT
class_two_wheeler_recall,0.679324894514768,0.6436222005842259,-0.03570269393054204,higher,BoTSORT
class_two_wheeler_f1,0.6219910846953937,0.5993652712709687,-0.022625813424424934,higher,BoTSORT
class_two_wheeler_mota,0.1678026614735475,0.13274910743265178,-0.03505355404089572,higher,BoTSORT
class_two_wheeler_motp,0.6714017809726219,0.6800586868171947,0.008656905844572793,higher,ByteTrack
class_two_wheeler_hota,0.40729120095624766,0.4089136892594524,0.0016224883032047166,neutral,n/a
class_pedestrian_gt_detections,704,704,0.0,neutral,n/a
class_pedestrian_pred_detections,275,274,-1.0,neutral,n/a
class_pedestrian_true_positives,243,236,-7.0,higher,BoTSORT
class_pedestrian_false_positives,32,38,6.0,lower,BoTSORT
class_pedestrian_false_negatives,461,468,7.0,lower,BoTSORT
class_pedestrian_id_switches,3,3,0.0,lower,tie
class_pedestrian_precision,0.8836363636363637,0.8613138686131386,-0.02232249502322503,higher,BoTSORT
class_pedestrian_recall,0.34517045454545453,0.3352272727272727,-0.009943181818181823,higher,BoTSORT
class_pedestrian_f1,0.4964249233912155,0.48261758691206547,-0.013807336479150056,higher,BoTSORT
class_pedestrian_mota,0.2954545454545454,0.27698863636363635,-0.01846590909090906,higher,BoTSORT
class_pedestrian_motp,0.7655274772155511,0.7560575457077207,-0.009469931507830487,higher,BoTSORT
class_pedestrian_hota,0.4576325240948222,0.4425758179790867,-0.015056706115735508,neutral,n/a
